sample,DGCCA_1,DGCCA_2,DGCCA_3,DGCCA_4,DGCCA_5,DGCCA_6,DGCCA_7,DGCCA_8,DGCCA_9,DGCCA_10,DGCCA_11,DGCCA_12,DGCCA_13,DGCCA_14,DGCCA_15,DGCCA_16,DGCCA_17,DGCCA_18,DGCCA_19,DGCCA_20,DGCCA_21,DGCCA_22,DGCCA_23,DGCCA_24,DGCCA_25,DGCCA_26,DGCCA_27,DGCCA_28,DGCCA_29,DGCCA_30,DGCCA_31,DGCCA_32,DGCCA_33,DGCCA_34,DGCCA_35,DGCCA_36,DGCCA_37,DGCCA_38,DGCCA_39,DGCCA_40,DGCCA_41,DGCCA_42,DGCCA_43,DGCCA_44,DGCCA_45,DGCCA_46,DGCCA_47,DGCCA_48,DGCCA_49,DGCCA_50,DGCCA_51,DGCCA_52,DGCCA_53,DGCCA_54,DGCCA_55,DGCCA_56,DGCCA_57,DGCCA_58,DGCCA_59,DGCCA_60,DGCCA_61,DGCCA_62,DGCCA_63,DGCCA_64,DGCCA_65,DGCCA_66,DGCCA_67,DGCCA_68,DGCCA_69,DGCCA_70,DGCCA_71,DGCCA_72,DGCCA_73,DGCCA_74,DGCCA_75,DGCCA_76,DGCCA_77,DGCCA_78,DGCCA_79,DGCCA_80,DGCCA_81,DGCCA_82,DGCCA_83,DGCCA_84,DGCCA_85,DGCCA_86,DGCCA_87,DGCCA_88,DGCCA_89,DGCCA_90,DGCCA_91,DGCCA_92,DGCCA_93,DGCCA_94,DGCCA_95,DGCCA_96,DGCCA_97,DGCCA_98,DGCCA_99,DGCCA_100
TCGA-3C-AAAU-01,-0.0041261776,-0.03593134,-0.032695718,-0.02567843,-0.021700125,0.018754035,-0.027951008,0.012278657,0.033695053,-0.040867515,0.018796774,-0.0025141055,-0.02382755,-0.049597993,0.019127112,0.02654196,-0.003888662,-0.0037348222,-0.07552349,-0.062102284,0.025296625,-0.004095418,0.023736976,-0.0005262685,0.010660697,0.030766232,-0.047604937,-0.043019813,-0.0030126395,-0.030656915,0.024132509,-0.023945114,0.060501438,-0.024195535,-0.028298516,0.047083348,0.025331143,-0.059654284,0.0087919505,0.04798492,0.017590862,0.024325848,0.027523052,0.023343278,-0.06568864,-0.0020837535,0.012109548,-0.028899405,0.005312714,-0.003568176,0.02948331,-0.045158427,-0.0013090068,-0.009893907,-0.040096454,0.03016599,-0.041390095,0.050595034,-0.013326269,0.0075423713,0.02914673,0.01339337,-0.009036608,0.010839541,0.038376074,0.007907901,-0.041019324,-0.023305027,0.026900785,0.0015591665,-0.043187443,-0.012916632,0.040690236,-0.034778506,0.0006705972,0.0363622,0.0706792,0.017475808,0.0061947983,-0.018125359,0.008815764,-0.018742587,-0.0288585,-0.05262818,0.019525195,-0.017285423,0.021223078,0.025707036,0.03835491,0.010601894,-0.043568686,0.022436984,-0.047810387,0.03396926,-0.02390517,-0.012130371,0.020938313,0.0023924564,-0.010160123,-0.0020560583
TCGA-3C-AALI-01,-0.008898172,0.025295932,0.029913735,0.0440201,0.007204805,-0.0028523703,0.038143203,-0.016290246,-0.009043586,0.023113906,-0.037791375,-0.036351956,0.042420954,0.0187137,-0.037287455,-0.012684425,-0.025200939,-0.014967966,-0.0011651313,0.059064373,-0.028493423,-0.008641937,-0.040850744,-0.0061811684,-0.04397142,-0.01338965,0.020077778,0.030722125,-0.0013292219,0.040181413,0.011347778,0.020580754,-0.034532033,0.035276484,0.06016866,0.01470943,0.04082837,0.019268163,-0.047193296,-0.021345569,-0.01187261,-0.030425357,-0.047547225,-0.029671129,0.04152387,-0.0031091901,0.005921135,0.02893157,-0.008625211,0.03332053,0.00904907,0.048988942,-0.020550666,0.041093405,0.037722602,0.001021554,0.011024766,-0.009436602,-0.026995081,-0.017306434,0.034360006,0.004346722,-0.0027409464,-0.014076312,-0.031762227,-0.0030539304,0.052420177,0.06721039,-0.035306446,-0.024721773,0.06906946,0.017873917,-0.015910184,0.02556462,-0.05116143,-0.0006266786,-0.03716792,-0.017593088,-0.014037839,0.013595523,-0.03558266,0.054442454,0.038197678,0.03995966,-0.02430889,-0.03453302,-0.029772855,-0.012821607,-0.009730341,0.0010251261,0.048611276,-0.046595607,0.028668597,-0.026599161,0.028161103,0.052059975,-0.0008196151,-0.029595844,0.002733805,0.025198942
TCGA-3C-AALJ-01,0.020418968,0.039208505,0.016396146,0.028214995,0.0336224,-0.009417488,0.028166384,-0.007987734,-0.026178531,0.033290535,-0.019407254,-0.019786883,0.025634212,-0.0022621024,-0.039212257,-0.03355908,-0.011317839,-0.032267243,0.022207515,0.04026555,-0.019320687,0.0043073893,-0.026905157,-0.030151833,-0.01577329,-0.0062299846,0.017040279,0.007959046,-0.02623194,0.027979007,-0.02063468,0.014252964,0.0012763974,0.029191203,0.030155241,0.010966049,-0.0106381085,0.044554196,-0.0050124386,-0.01602143,0.0049041472,-0.005767608,0.0062780543,0.015909499,0.018063616,0.0065058433,0.044257775,-0.018580418,-0.025136292,-0.0028559566,0.0040614083,0.030984923,0.005588567,0.008181774,0.013900662,0.018107263,0.01028803,-0.01681049,0.024238586,-0.0413133,-0.007225084,0.007150486,-0.032606274,-0.0050893966,-0.020608086,-0.016989226,0.001636764,0.021683503,0.008174597,-0.0007345169,0.018806906,0.005628434,-0.020216806,0.039772153,0.0078084464,-0.02880876,-0.014816612,-0.018838547,-0.0057168044,0.03754382,-0.01352781,0.024549749,-0.0073538483,0.01495656,-0.0389005,0.010651328,-0.00879693,-0.042716295,0.0502154,-0.012138825,0.027299395,-0.021551333,0.013496373,-0.0008682981,0.014952693,0.02074426,0.032509785,0.0335327,0.015098378,0.018189076
TCGA-3C-AALK-01,-0.037578598,0.016135234,0.016024355,0.008897411,0.016984954,0.05372425,0.007899825,-0.07941514,0.027272388,0.009118715,-0.07611433,-0.03548363,0.0063895793,-0.008971443,-0.008116423,-0.0129488725,-0.006610508,0.0010111388,-0.0113958735,0.008628206,0.014160695,-0.06506927,0.058018483,-0.09027861,0.003148599,-0.05243861,-0.0015943721,-0.010192592,-0.03565035,0.020852506,0.0068510994,-0.009319007,0.008203096,-0.0021903077,0.009510371,-0.0005047228,-0.05319403,-0.0058282083,0.06387003,0.025219455,0.00434516,0.03919952,-0.0030758139,-0.012966671,-0.013291227,-0.05292108,0.0041686725,0.016105946,0.06882566,0.0072350185,-0.053342573,0.010233201,-0.049707793,-0.01184546,-0.01390167,-0.02028515,0.011656779,-0.042936653,-0.026733596,-0.04482292,-0.017472662,-0.05382833,-0.03395581,-0.033205282,-0.04654008,0.0188221,0.0023312652,0.016233597,-0.023377517,-0.0124674225,0.011447616,-0.012598033,-0.03566678,0.010218584,-0.0031592455,-0.0046315547,-0.01396473,0.004266198,-0.016741734,-0.023916882,0.0053344686,-0.0012626289,-0.0051915105,-0.00040433742,-0.015982397,0.021587996,-0.029997237,0.0021257335,-0.05430337,-0.029098902,-0.024716973,-0.009245442,-0.0076404447,-0.0514725,-0.0072722742,-0.009948854,-0.009587549,-0.030570043,0.011992316,0.014603076
TCGA-4H-AAAK-01,0.019179786,0.03692377,0.059026808,0.063695796,0.059048794,-0.018865975,0.052302353,-0.0064201336,-0.069069974,0.06692973,-0.019455034,-0.019925863,0.039916042,0.049431026,-0.035766892,-0.07792511,-0.006104124,-0.00016782363,0.058148295,0.043238193,-0.058931578,0.015583598,-0.059690647,-0.011602659,-0.033680078,-0.06857071,0.046587612,0.04982655,0.011310444,0.061975613,0.0034615514,0.037642453,-0.03888454,0.044063576,0.05920302,0.015518842,-0.0004777098,0.043759868,-0.0135835055,-0.0020962767,0.050423026,-0.011725912,-0.030654822,0.010751292,0.045904465,0.002724784,0.060545385,0.056714274,0.0030007288,0.0415587,0.010549853,0.03232723,0.026277486,0.040152937,0.036312714,0.03997204,0.044548705,-0.049342193,0.021966562,0.043648247,0.01454382,0.040565617,0.0006480841,-0.007950612,0.032844633,-0.032679603,0.01641046,0.0325862,-0.011062826,0.022377474,0.040328946,0.013366617,-0.001443461,0.0070028193,-0.005354712,0.010765278,-0.034247458,-0.013478334,0.0017481556,0.027392205,-0.03292922,0.031582203,0.040065963,0.043296482,-0.00610629,0.020328708,0.022563143,-0.024286518,-0.027592652,-0.013029642,0.03843837,-0.035251256,0.03217774,-0.054524817,0.0039433017,0.029439753,0.022895768,0.013860293,0.007753465,0.0013387213
TCGA-5L-AAT0-01,0.0095097115,-0.050922677,-0.040188383,-0.0426559,-0.030105032,0.027654858,-0.053998996,0.015387414,0.0537009,-0.072952956,0.04096802,0.026255056,-0.039910547,-0.06042581,0.02960522,0.09517423,0.023922851,0.026713133,-0.011457917,-0.06404062,0.018043531,-0.045875467,0.069850184,-0.0034908,0.032031484,0.013160572,-0.044836696,-0.045560334,0.020574953,-0.06297651,0.002588992,-0.014364576,0.025776438,-0.040081806,-0.07832983,-0.007101493,0.01915424,-0.05529532,0.031785183,0.036686763,-0.05721446,0.017329253,0.0620145,0.0085892705,-0.08594498,-0.006466452,-0.05609893,-0.009254747,-0.013096917,-0.058943406,0.0016441387,-0.03389396,-0.007931803,-0.048818037,-0.046353478,-0.031496655,-0.006519763,0.026802022,-0.013145801,-0.050555248,-0.0017775723,-0.03103221,0.0051124487,-0.013788476,-0.03602427,0.027681306,-0.041464962,-0.016057968,0.018371899,0.010200953,-0.044537265,-0.023181114,-0.005549926,-0.0054364805,-0.08559552,0.028208539,0.05697122,0.037952065,0.013823351,-0.041929834,0.02927556,-0.009882,-0.032557327,-0.05184868,0.0018835859,0.002481523,0.0008149957,0.012590186,0.0004624594,-0.04804194,-0.0362285,0.012541497,-0.02116545,0.017361486,-0.016193733,-0.0055917623,-0.015125089,0.01831202,-0.023036487,-0.06083764
TCGA-5L-AAT1-01,0.030665684,-0.04181907,-0.044501204,-0.05147074,-0.023257688,-0.026669677,-0.033733245,0.044739418,-0.0004506074,-0.04280573,0.038703732,0.04588719,-0.011779678,-0.028037667,0.025573656,0.035911936,-0.028157875,-0.029300146,-0.008855527,-0.023548825,0.013072492,-0.0016683927,-0.00045890882,0.031743124,0.025475685,0.023883179,-0.027641064,-0.005707855,0.002110906,-0.043998178,0.0037381705,-0.01688941,0.015244346,-0.032240525,-0.025808008,0.0025184336,0.016527282,-0.0011333306,0.03597371,0.017976962,-0.009196779,-0.03376617,0.060965568,-0.0221012,-0.018338365,0.051000476,-0.029891782,-0.00086660683,-0.04357258,-0.007849575,-0.023824757,-0.013116758,-0.011309577,-0.024886243,-0.0033191303,-0.031575013,-0.00926461,0.024142956,-0.029905174,-0.013385899,-0.004938173,-0.008291954,0.025407707,-0.033025682,-0.0137862265,-0.021732254,-0.027675616,-0.006735302,0.054968588,0.01973459,0.018428043,-0.01989321,0.024596928,0.0044006836,-0.021848885,0.014236088,0.010913637,0.006443943,0.034819566,-0.0101044495,0.046150647,-0.008509148,0.0057076123,-0.004404879,0.05035656,-0.013695118,-0.0089367265,0.004822,0.02746112,-0.00641132,-0.022011291,0.010477819,0.01006436,0.046604015,-0.003716412,-0.001959242,-0.027423734,-0.009419454,-0.036212448,-0.0146111585
TCGA-5T-A9QA-01,-0.03237518,0.00057176827,-0.016848754,0.025608134,-0.03243376,-0.010502575,-0.025355518,0.015216252,0.03134414,0.0010716263,-0.03099116,-0.045449987,-0.027865104,0.00068289833,0.004432641,0.020698838,-0.03348212,0.034074243,0.0040941425,-0.038923725,-0.014235311,-0.025314547,0.0019804672,-0.0027524382,0.027629627,-0.02000487,0.014145175,-0.021232365,0.0134142805,-0.0045837397,-0.013192859,-0.0031958036,-0.0036946032,0.002618073,-0.011602309,0.010043521,-0.0045247506,0.0030942708,0.0056891516,0.023235645,-0.00033274828,0.005915074,0.006550203,0.036119714,-0.021278542,-0.0051803514,0.012546074,-0.031432398,0.028993586,0.00034395233,0.0015057558,-0.012366026,0.020270463,0.016915437,-0.0072400207,-0.005759347,0.0009924956,-0.01044141,-0.049195476,0.029152256,0.0036186934,-0.029490974,-0.013114864,0.023763515,-0.005648533,0.014572396,-0.013944463,-0.020323327,0.008599827,-0.005578183,-0.006987165,-0.013574931,-0.010922536,-0.008132007,-0.011415947,-0.008755752,-0.022710726,0.0029620212,-0.011451532,-0.017028963,-0.03740787,-0.060147535,0.015079936,-0.013742382,0.011426202,0.011332738,0.004537053,-0.010045613,-0.015167177,-0.021019634,-0.005152489,0.0051565785,-0.011862537,0.03108878,-0.008908037,0.012461334,-0.010397848,-0.011118255,-0.033248678,0.005486369
TCGA-A1-A0SB-01,-0.05337564,-0.012137768,0.005820323,-0.0007604738,0.0059251115,0.008471053,-0.003441086,-0.048590265,0.063431405,-0.00079448684,0.0011592589,-0.068023,0.016805954,-0.016991047,0.0019070087,0.045484062,-0.0573308,0.069662936,-0.0036152713,0.0074572954,0.019952975,-0.028620584,0.009213861,-0.015454067,0.05047244,-0.01577334,-0.0024379157,0.009166993,0.008173129,-0.0050038686,-0.03740969,-0.024648245,-0.0149298515,-0.01621627,-0.0065076877,-0.028101856,-0.047470365,-0.015709437,0.02183368,0.0384576,-0.00725261,0.02007559,-0.055945665,0.06658988,-0.03432731,-0.04825636,0.045859512,0.026136518,0.011478371,-0.0149342045,-0.035647895,-0.040984396,-0.019477688,0.022398042,-0.0070790043,0.011418639,-0.014581839,-0.012677466,-0.03435961,-0.0118526835,-0.018418333,0.028284889,0.009455653,-0.024504922,0.011318074,0.03961175,-0.0098183835,-0.025306284,0.045773063,-0.015649911,-0.03064334,-0.0406764,-0.08673207,-0.0070156846,-0.04466424,-0.011888057,-0.006607485,-0.037413765,-0.04153053,-0.01852266,-0.0802693,0.0042212186,-0.025659654,-0.015809296,-0.0014003587,-0.038000766,-0.003933981,-0.01689636,-0.009609697,-0.030477706,-0.0009103846,-0.024520583,-0.017502379,0.027310796,-0.029114107,0.013002952,0.010648691,-0.024232235,-0.032617435,-0.0045322217
TCGA-A1-A0SD-01,0.01643398,-0.00059850863,0.023734728,0.03850174,0.037445083,-0.0360463,0.02942678,0.0374745,-0.04633659,0.018997433,-0.03518938,0.009875249,0.011269756,0.060257446,-0.049966574,-0.09727722,0.033570424,0.08722829,0.020392375,0.024523474,0.0059311,0.080157466,-0.03633214,0.026763584,-0.0006326074,-0.020772718,0.01935615,0.0063542156,0.01818901,0.0064430856,-0.009770909,0.04181523,-0.016227514,0.010469316,0.0134856645,0.0055731162,0.044186763,-0.005783476,-0.08275405,-0.0068399766,0.05201649,-0.0148395905,0.0016539381,-0.019310571,0.030345079,-0.023609662,0.020300165,-0.0015049875,0.0020729322,0.005184585,0.030997414,0.023834776,0.025041098,-0.015376506,0.02298934,0.015669774,0.01581667,-0.018460691,0.07128482,0.03140705,-0.006625169,0.032060966,0.035301812,0.062553175,0.049687043,0.06781507,0.0030462362,-0.008626636,-0.04999303,0.024798762,0.012925912,0.06656679,0.00025694538,0.020880036,0.025732458,0.05705884,-0.03661376,0.013997955,0.04770975,-0.0075205825,-0.022257855,-0.0022987556,0.020695448,-0.0018620093,0.0077176928,0.0066713914,0.026818287,-0.0088917725,0.03546048,0.040205527,-0.0010055648,0.031346515,0.004067591,-0.03780539,0.007006631,-0.016388347,-0.031487133,-0.04222454,0.090730876,0.027649965
