sample,DGCCA_16,DGCCA_28,DGCCA_31,DGCCA_38,DGCCA_71,DGCCA_82,DGCCA_88
TCGA-3C-AAAU-01,0.02654196,-0.043019813,0.024132509,-0.059654284,-0.043187443,-0.018742587,0.025707036
TCGA-3C-AALI-01,-0.012684425,0.030722125,0.011347778,0.019268163,0.06906946,0.054442454,-0.012821607
TCGA-3C-AALJ-01,-0.03355908,0.007959046,-0.02063468,0.044554196,0.018806906,0.024549749,-0.042716295
TCGA-3C-AALK-01,-0.0129488725,-0.010192592,0.0068510994,-0.0058282083,0.011447616,-0.0012626289,0.0021257335
TCGA-4H-AAAK-01,-0.07792511,0.04982655,0.0034615514,0.043759868,0.040328946,0.031582203,-0.024286518
TCGA-5L-AAT0-01,0.09517423,-0.045560334,0.002588992,-0.05529532,-0.044537265,-0.009882,0.012590186
TCGA-5L-AAT1-01,0.035911936,-0.005707855,0.0037381705,-0.0011333306,0.018428043,-0.008509148,0.004822
TCGA-5T-A9QA-01,0.020698838,-0.021232365,-0.013192859,0.0030942708,-0.006987165,-0.060147535,-0.010045613
TCGA-A1-A0SB-01,0.045484062,0.009166993,-0.03740969,-0.015709437,-0.03064334,0.0042212186,-0.01689636
TCGA-A1-A0SD-01,-0.09727722,0.0063542156,-0.009770909,-0.005783476,0.012925912,-0.0022987556,-0.0088917725
TCGA-A1-A0SE-01,0.047279295,-0.030418593,0.024794312,0.008727747,-0.025142793,0.020780833,-0.004050915
TCGA-A1-A0SF-01,0.057648767,0.0060664895,0.04348012,0.0053490046,0.025099676,0.0017137565,-0.021723913
TCGA-A1-A0SG-01,-0.0005228785,0.016710024,0.014790801,0.014084518,0.0094469,-0.017232694,0.015091906
TCGA-A1-A0SH-01,-0.15352088,-0.019223258,-0.0057679927,-0.010098272,-0.0021310737,-0.014880436,0.045434974
TCGA-A1-A0SI-01,-0.21029174,0.0191245,0.029274642,-0.00024814904,-0.022869237,-0.050995003,0.041868187
TCGA-A1-A0SJ-01,0.13596007,0.007202126,0.053052265,0.0070121926,0.048943426,0.015583942,-0.027490443
TCGA-A1-A0SK-01,-0.0045973817,0.007944746,-0.044350952,0.012449891,0.008418929,0.0012076851,-0.008336991
TCGA-A1-A0SM-01,0.079592,-0.017883824,0.027175292,0.013994989,-0.0034676304,0.015384964,-0.045661874
TCGA-A1-A0SN-01,-0.030387454,-0.0035460372,0.014134668,0.010591886,-0.024559388,-0.012581311,-0.010852978
